449
449

--- BACKTEST RESULT ---
Balance: 1137776.66
PnL:     1137676.66

--- TRADES ---
Total:    1843
Win rate: 46.34%

--- PERFORMANCE ---
Avg Win:       7340.42
Avg Loss:      -5188.11
Profit Factor: 1.22
Expectancy:    617.30

--- RISK ---
Max Drawdown: 50.96%

--- BEHAVIOR ---
Avg Hold: 173.50 bars
Full Stats (Sorted by Losses):
┌─────────┬────────────────────┬──────┬────────┬────────────┬─────────┐
│ (index) │ Symbol             │ Wins │ Losses │ TotalPnL   │ WinRate │
│ 63      │ 'HOLOUSDT'         │ 5    │ 6      │ -32.71     │ 45.45   │
│ 64      │ 'HUSDT'            │ 4    │ 6      │ 244.2      │ 40      │
│ 65      │ 'DOODUSDT'         │ 11   │ 6      │ 875.83     │ 64.71   │
│ 66      │ '1000TAGUSDT'      │ 5    │ 6      │ -209.48    │ 45.45   │
│ 67      │ 'ALGOUSDT'         │ 4    │ 6      │ -8979.46   │ 40      │
│ 68      │ 'BSVUSDT'          │ 3    │ 6      │ 117433.84  │ 33.33   │
│ 69      │ 'ASPUSDT'          │ 2    │ 5      │ 101.87     │ 28.57   │
│ 70      │ 'COAIUSDT'         │ 4    │ 5      │ 14.23      │ 44.44   │
│ 71      │ 'HIVEUSDT'         │ 5    │ 5      │ 2308.34    │ 50      │
│ 72      │ 'ENJUSDT'          │ 6    │ 5      │ 96659.3    │ 54.55   │
│ 73      │ 'AWEUSDT'          │ 2    │ 5      │ -398.23    │ 28.57   │
│ 74      │ 'LTCUSDT'          │ 2    │ 5      │ -20641.85  │ 28.57   │
│ 75      │ 'FLRUSDT'          │ 4    │ 5      │ 56420.16   │ 44.44   │
│ 76      │ 'SCUSDT'           │ 4    │ 5      │ 22112.47   │ 44.44   │
│ 77      │ 'BATUSDT'          │ 1    │ 5      │ -15716.14  │ 16.67   │
│ 78      │ 'MONUSDT'          │ 2    │ 4      │ 62.28      │ 33.33   │
│ 79      │ 'LABUSDT'          │ 0    │ 4      │ -17.75     │ 0       │
│ 80      │ 'LIGHTUSDT'        │ 3    │ 4      │ -25.4      │ 42.86   │
│ 81      │ 'FOLKSUSDT'        │ 4    │ 4      │ 7.1        │ 50      │
│ 82      │ 'MIRAUSDT'         │ 2    │ 4      │ -107.15    │ 33.33   │
│ 83      │ 'DIAUSDT'          │ 3    │ 4      │ 147.91     │ 42.86   │
│ 84      │ 'HOMEUSDT'         │ 7    │ 4      │ 844.66     │ 63.64   │
│ 85      │ 'RONINUSDT'        │ 8    │ 4      │ 824.55     │ 66.67   │
│ 86      │ 'AUSDT'            │ 3    │ 4      │ 238.87     │ 42.86   │
│ 87      │ 'AXSUSDT'          │ 7    │ 4      │ 191576.27  │ 63.64   │
│ 88      │ 'RVNUSDT'          │ 5    │ 4      │ 143891.04  │ 55.56   │
│ 89      │ 'PYRUSDT'          │ 6    │ 4      │ 1764.99    │ 60      │
│ 90      │ 'ANKRUSDT'         │ 5    │ 4      │ 15270.58   │ 55.56   │
│ 91      │ 'LUNA2USDT'        │ 9    │ 4      │ 248268.56  │ 69.23   │
│ 92      │ 'NOMUSDT'          │ 6    │ 3      │ 134.34     │ 66.67   │
│ 93      │ 'CCUSDT'           │ 2    │ 3      │ 8.65       │ 40      │
│ 94      │ '0GUSDT'           │ 6    │ 3      │ 185.7      │ 66.67   │
│ 95      │ 'BOBBOBUSDT'       │ 4    │ 3      │ -10.1      │ 57.14   │
│ 96      │ 'ERAUSDT'          │ 6    │ 3      │ 81.91      │ 66.67   │
│ 97      │ 'CUSDT'            │ 7    │ 3      │ -46.89     │ 70      │
│ 98      │ 'MAGMAUSDT'        │ 0    │ 3      │ -25.12     │ 0       │
│ 99      │ 'DOLOUSDT'         │ 7    │ 3      │ 284.29     │ 70      │
│ 100     │ 'ARIAUSDT'         │ 2    │ 3      │ -1.51      │ 40      │
│ 101     │ 'DOTUSDT'          │ 0    │ 3      │ -70521.48  │ 0       │
│ 102     │ 'CVCUSDT'          │ 3    │ 3      │ 19148.56   │ 50      │
│ 103     │ 'SKRUSDT'          │ 2    │ 2      │ 0.53       │ 50      │
│ 104     │ 'PROVEUSDT'        │ 7    │ 2      │ 302.01     │ 77.78   │
│ 105     │ 'LITUSDT'          │ 5    │ 2      │ 23.67      │ 71.43   │
│ 106     │ 'HANAUSDT'         │ 4    │ 2      │ 111.3      │ 66.67   │
│ 107     │ 'NIGHTUSDT'        │ 4    │ 2      │ 55.43      │ 66.67   │
│ 108     │ 'ETHBTCUSDT'       │ 3    │ 2      │ 46.51      │ 60      │
│ 109     │ 'PUMPBTCUSDT'      │ 1    │ 1      │ 2.24       │ 50      │
│ 110     │ 'OPNUSDT'          │ 3    │ 1      │ 16.71      │ 75      │
│ 111     │ 'EDGEUSDT'         │ 1    │ 0      │ 5.86       │ 100     │
│ 112     │ 'ASRUSDT'          │ 2    │ 0      │ 14.89      │ 100     │
│ 113     │ 'IOSTUSDT'         │ 3    │ 0      │ 44031.75   │ 100     │
└─────────┴────────────────────┴──────┴────────┴────────────┴─────────┘
[
  "NOMUSDT",
  "CARVUSDT",
  "SAGAUSDT",
  "EDGEUSDT",
  "GUNUSDT",
  "ACXUSDT",
  "SNXUSDT",
  "HOMEUSDT",
  "PNUTUSDT",
  "0GUSDT",
  "PROVEUSDT",
  "LITUSDT",
  "POLYXUSDT",
  "CHILLGUYUSDT",
  "10000QUBICUSDT",
  "DOODUSDT",
  "BOBBOBUSDT",
  "ERAUSDT",
  "OLUSDT",
  "EPICUSDT",
  "RONINUSDT",
  "HANAUSDT",
  "RENDERUSDT",
  "CUSDT",
  "KAVAUSDT",
  "OPNUSDT",
  "ENJUSDT",
  "ASRUSDT",
  "NIGHTUSDT",
  "PHAUSDT",
  "DOLOUSDT",
  "AXSUSDT",
  "RVNUSDT",
  "ETHBTCUSDT",
  "DYMUSDT",
  "PYRUSDT",
  "ANKRUSDT",
  "LUNA2USDT",
  "IOSTUSDT"
]
-----------------------

