449
449

--- BACKTEST RESULT ---
Balance: 35080.83
PnL:     34980.83

--- TRADES ---
Total:    2429
Win rate: 42.77%

--- PERFORMANCE ---
Avg Win:       484.95
Avg Loss:      -337.32
Profit Factor: 1.07
Expectancy:    14.40

--- RISK ---
Max Drawdown: 68.48%

--- BEHAVIOR ---
Avg Hold: 167.40 bars
Full Stats (Sorted by Losses):
┌─────────┬───────────────────────┬──────┬────────┬──────────┬─────────┐
│ (index) │ Symbol                │ Wins │ Losses │ TotalPnL │ WinRate │
│ 64      │ 'MUBARAKUSDT'         │ 2    │ 6      │ 30.9     │ 25      │
│ 65      │ '1000000MOGUSDT'      │ 6    │ 6      │ 439.01   │ 50      │
│ 66      │ 'SHELLUSDT'           │ 4    │ 6      │ -27.94   │ 40      │
│ 67      │ '1000LUNCUSDT'        │ 3    │ 6      │ 383.58   │ 33.33   │
│ 68      │ 'BRETTUSDT'           │ 5    │ 6      │ -888.24  │ 45.45   │
│ 69      │ 'CAKEUSDT'            │ 6    │ 6      │ -2325.42 │ 50      │
│ 70      │ '1000000CHEEMSUSDT'   │ 1    │ 6      │ -456.22  │ 14.29   │
│ 71      │ 'DOGUSDT'             │ 4    │ 6      │ -319.7   │ 40      │
│ 72      │ 'JELLYJELLYUSDT'      │ 0    │ 6      │ -100.57  │ 0       │
│ 73      │ 'CLOUDUSDT'           │ 8    │ 6      │ 933.8    │ 57.14   │
│ 74      │ '1000000BABYDOGEUSDT' │ 2    │ 6      │ 197.95   │ 25      │
│ 75      │ 'AKTUSDT'             │ 4    │ 6      │ -477.85  │ 40      │
│ 76      │ 'ONTUSDT'             │ 5    │ 6      │ -4368.33 │ 45.45   │
│ 77      │ 'BELUSDT'             │ 4    │ 6      │ -33.8    │ 40      │
│ 78      │ 'PROMPTUSDT'          │ 1    │ 5      │ -22.37   │ 16.67   │
│ 79      │ 'ORCAUSDT'            │ 3    │ 5      │ 111.9    │ 37.5    │
│ 80      │ 'BTRUSDT'             │ 0    │ 5      │ -62.75   │ 0       │
│ 81      │ 'COWUSDT'             │ 1    │ 5      │ -302.73  │ 16.67   │
│ 82      │ 'OPUSDT'              │ 1    │ 5      │ -1920.68 │ 16.67   │
│ 83      │ 'LYNUSDT'             │ 1    │ 5      │ -91.87   │ 16.67   │
│ 84      │ 'SIRENUSDT'           │ 0    │ 5      │ -83.86   │ 0       │
│ 85      │ 'RAREUSDT'            │ 5    │ 5      │ 815.45   │ 50      │
│ 86      │ 'MBOXUSDT'            │ 4    │ 5      │ 211.03   │ 44.44   │
│ 87      │ 'ANIMEUSDT'           │ 2    │ 5      │ -23.07   │ 28.57   │
│ 88      │ 'PTBUSDT'             │ 3    │ 5      │ 3.89     │ 37.5    │
│ 89      │ 'MOCAUSDT'            │ 2    │ 5      │ -392.84  │ 28.57   │
│ 90      │ 'COREUSDT'            │ 4    │ 5      │ -613.46  │ 44.44   │
│ 91      │ 'APTUSDT'             │ 0    │ 5      │ -4210.3  │ 0       │
│ 92      │ 'CHILLGUYUSDT'        │ 6    │ 5      │ 372.93   │ 54.55   │
│ 93      │ 'EIGENUSDT'           │ 6    │ 5      │ 804.68   │ 54.55   │
│ 94      │ 'PIPPINUSDT'          │ 2    │ 5      │ 163.76   │ 28.57   │
│ 95      │ 'DUSKUSDT'            │ 2    │ 5      │ -1044.73 │ 28.57   │
│ 96      │ 'HFTUSDT'             │ 4    │ 5      │ -49.8    │ 44.44   │
│ 97      │ 'BIOUSDT'             │ 5    │ 5      │ 5.57     │ 50      │
│ 98      │ 'ALTUSDT'             │ 12   │ 5      │ 4254.57  │ 70.59   │
│ 99      │ 'PHAUSDT'             │ 6    │ 5      │ 414.15   │ 54.55   │
│ 100     │ 'BEAMUSDT'            │ 5    │ 5      │ 763.8    │ 50      │
│ 101     │ '1000NEIROCTOUSDT'    │ 8    │ 5      │ 44.28    │ 61.54   │
│ 102     │ 'INITUSDT'            │ 5    │ 5      │ 16.63    │ 50      │
│ 103     │ 'RIVERUSDT'           │ 2    │ 5      │ 21.72    │ 28.57   │
│ 104     │ 'MOVEUSDT'            │ 3    │ 5      │ 164.26   │ 37.5    │
│ 105     │ 'AIXBTUSDT'           │ 4    │ 5      │ -110.55  │ 44.44   │
│ 106     │ 'ONGUSDT'             │ 5    │ 5      │ 1553.83  │ 50      │
│ 107     │ 'AIOZUSDT'            │ 3    │ 5      │ 98.14    │ 37.5    │
│ 108     │ 'AERGOUSDT'           │ 3    │ 5      │ 2215.11  │ 37.5    │
│ 109     │ 'RSRUSDT'             │ 2    │ 5      │ 1276.05  │ 28.57   │
│ 110     │ 'ALICEUSDT'           │ 4    │ 5      │ -1173.62 │ 44.44   │
│ 111     │ 'SKLUSDT'             │ 0    │ 5      │ -7887.1  │ 0       │
│ 112     │ 'ROAMUSDT'            │ 2    │ 4      │ -79.76   │ 33.33   │
│ 113     │ 'SAHARAUSDT'          │ 0    │ 4      │ -81.95   │ 0       │
│ 114     │ 'IDUSDT'              │ 1    │ 4      │ -1286.23 │ 20      │
│ 115     │ 'BERAUSDT'            │ 4    │ 4      │ 40.17    │ 50      │
│ 116     │ 'AVAUSDT'             │ 2    │ 4      │ -33.37   │ 33.33   │
│ 117     │ 'MELANIAUSDT'         │ 2    │ 4      │ 43.37    │ 33.33   │
│ 118     │ 'POLYXUSDT'           │ 6    │ 4      │ 483.64   │ 60      │
│ 119     │ 'PNUTUSDT'            │ 5    │ 4      │ 110.03   │ 55.56   │
│ 120     │ 'NILUSDT'             │ 0    │ 4      │ -53.47   │ 0       │
│ 121     │ 'RESOLVUSDT'          │ 2    │ 4      │ 6.42     │ 33.33   │
│ 122     │ 'GRIFFAINUSDT'        │ 7    │ 4      │ -30.78   │ 63.64   │
│ 123     │ 'OLUSDT'              │ 7    │ 4      │ 70.22    │ 63.64   │
│ 124     │ 'HYPERUSDT'           │ 3    │ 4      │ 9.91     │ 42.86   │
│ 125     │ '4USDT'               │ 3    │ 4      │ 46.39    │ 42.86   │
│ 126     │ 'SEIUSDT'             │ 7    │ 4      │ 5474.78  │ 63.64   │
│ 127     │ 'GRASSUSDT'           │ 5    │ 4      │ -61.02   │ 55.56   │
│ 128     │ 'GOATUSDT'            │ 2    │ 4      │ -176.04  │ 33.33   │
│ 129     │ 'APEUSDT'             │ 3    │ 4      │ -1072.11 │ 42.86   │
│ 130     │ 'MEUSDT'              │ 2    │ 4      │ -166.54  │ 33.33   │
│ 131     │ 'GMXUSDT'             │ 1    │ 4      │ -268.17  │ 20      │
│ 132     │ 'FARTCOINUSDT'        │ 2    │ 4      │ -170.32  │ 33.33   │
│ 133     │ 'DASHUSDT'            │ 0    │ 4      │ -2019.15 │ 0       │
│ 134     │ 'ADAUSDT'             │ 5    │ 4      │ 2136.58  │ 55.56   │
│ 135     │ 'ARUSDT'              │ 2    │ 4      │ -1499.92 │ 33.33   │
│ 136     │ 'CATIUSDT'            │ 2    │ 4      │ -308.86  │ 33.33   │
│ 137     │ '1000CATUSDT'         │ 7    │ 4      │ 529.1    │ 63.64   │
│ 138     │ 'BLASTUSDT'           │ 3    │ 4      │ -204.63  │ 42.86   │
│ 139     │ 'BABYUSDT'            │ 2    │ 4      │ -24.08   │ 33.33   │
│ 140     │ 'PARTIUSDT'           │ 1    │ 4      │ -28.97   │ 20      │
│ 141     │ 'GLMUSDT'             │ 7    │ 4      │ 2005.73  │ 63.64   │
│ 142     │ 'ACXUSDT'             │ 5    │ 4      │ 50.57    │ 55.56   │
│ 143     │ 'FUSDT'               │ 3    │ 4      │ -67.79   │ 42.86   │
│ 144     │ 'B3USDT'              │ 4    │ 4      │ 103.74   │ 50      │
│ 145     │ 'C98USDT'             │ 2    │ 4      │ 2533.37  │ 33.33   │
│ 146     │ 'SOLAYERUSDT'         │ 2    │ 4      │ -49.58   │ 33.33   │
│ 147     │ 'ASTRUSDT'            │ 0    │ 4      │ -2266.72 │ 0       │
│ 148     │ 'BNTUSDT'             │ 3    │ 4      │ 866.5    │ 42.86   │
│ 149     │ 'PUFFERUSDT'          │ 0    │ 4      │ -163.15  │ 0       │
│ 150     │ 'PUMPFUNUSDT'         │ 0    │ 4      │ -92.21   │ 0       │
│ 151     │ 'JUPUSDT'             │ 2    │ 4      │ -2230.67 │ 33.33   │
│ 152     │ 'AEROUSDT'            │ 3    │ 4      │ -48.83   │ 42.86   │
│ 153     │ 'RPLUSDT'             │ 2    │ 4      │ -2195.7  │ 33.33   │
│ 154     │ 'COMPUSDT'            │ 3    │ 4      │ 2637.35  │ 42.86   │
│ 155     │ 'ROSEUSDT'            │ 2    │ 4      │ -4642.46 │ 33.33   │
│ 156     │ 'POWRUSDT'            │ 4    │ 4      │ 4560.48  │ 50      │
│ 157     │ 'NEARUSDT'            │ 4    │ 4      │ -1928.19 │ 50      │
│ 158     │ 'CELOUSDT'            │ 1    │ 4      │ 614.98   │ 20      │
│ 159     │ 'MAGICUSDT'           │ 1    │ 4      │ -1230.13 │ 20      │
│ 160     │ 'QNTUSDT'             │ 6    │ 4      │ 641.16   │ 60      │
│ 161     │ '1INCHUSDT'           │ 3    │ 4      │ 3330.75  │ 42.86   │
│ 162     │ 'LRCUSDT'             │ 2    │ 4      │ 1840.55  │ 33.33   │
│ 163     │ 'BICOUSDT'            │ 2    │ 4      │ -4197.14 │ 33.33   │
│ 164     │ '1000PEPEUSDT'        │ 3    │ 3      │ 894.98   │ 50      │
│ 165     │ 'CYSUSDT'             │ 3    │ 3      │ 18.67    │ 50      │
│ 166     │ 'POWERUSDT'           │ 0    │ 3      │ -23.18   │ 0       │
│ 167     │ 'KAITOUSDT'           │ 3    │ 3      │ -34.9    │ 50      │
│ 168     │ 'BROCCOLIUSDT'        │ 5    │ 3      │ 104.47   │ 62.5    │
│ 169     │ 'OKBUSDT'             │ 0    │ 3      │ -14.88   │ 0       │
│ 170     │ '1000TOSHIUSDT'       │ 2    │ 3      │ -141.15  │ 40      │
│ 171     │ 'HIVEUSDT'            │ 5    │ 3      │ 10.11    │ 62.5    │
│ 172     │ 'EVAAUSDT'            │ 0    │ 3      │ -10.29   │ 0       │
│ 173     │ 'ESPORTSUSDT'         │ 1    │ 3      │ -9.26    │ 25      │
│ 174     │ 'NXPCUSDT'            │ 2    │ 3      │ 9.2      │ 40      │
│ 175     │ 'SAGAUSDT'            │ 10   │ 3      │ -196.3   │ 76.92   │
│ 176     │ 'BLESSUSDT'           │ 5    │ 3      │ 61.24    │ 62.5    │
│ 177     │ 'ICPUSDT'             │ 1    │ 3      │ -583.75  │ 25      │
│ 178     │ '10000QUBICUSDT'      │ 6    │ 3      │ 218.94   │ 66.67   │
│ 179     │ 'ALLOUSDT'            │ 1    │ 3      │ -53.65   │ 25      │
│ 180     │ 'ESUSDT'              │ 1    │ 3      │ -6.83    │ 25      │
│ 181     │ 'BOBAUSDT'            │ 1    │ 3      │ -3912.88 │ 25      │
│ 182     │ 'KAIAUSDT'            │ 3    │ 3      │ 129.15   │ 50      │
│ 183     │ 'MMTUSDT'             │ 1    │ 3      │ -50.88   │ 25      │
│ 184     │ 'BANANAUSDT'          │ 7    │ 3      │ 477.86   │ 70      │
│ 185     │ 'EULUSDT'             │ 0    │ 3      │ -28.89   │ 0       │
│ 186     │ 'HAEDALUSDT'          │ 2    │ 3      │ 34.06    │ 40      │
│ 187     │ 'GNOUSDT'             │ 2    │ 3      │ -142.93  │ 40      │
│ 188     │ 'MEGAUSDT'            │ 0    │ 3      │ -29.1    │ 0       │
│ 189     │ 'GPSUSDT'             │ 2    │ 3      │ 66.21    │ 40      │
│ 190     │ 'CROSSUSDT'           │ 2    │ 3      │ -1.92    │ 40      │
│ 191     │ 'HEMIUSDT'            │ 2    │ 3      │ 28.78    │ 40      │
│ 192     │ 'ENSOUSDT'            │ 1    │ 3      │ -62.52   │ 25      │
│ 193     │ 'KNCUSDT'             │ 1    │ 3      │ -932.61  │ 25      │
│ 194     │ 'HPOS10IUSDT'         │ 5    │ 3      │ 322.97   │ 62.5    │
│ 195     │ 'BUSDT'               │ 1    │ 3      │ -5.29    │ 25      │
│ 196     │ 'LQTYUSDT'            │ 3    │ 3      │ -2357.23 │ 50      │
│ 197     │ 'PLUMEUSDT'           │ 4    │ 3      │ 40.82    │ 57.14   │
│ 198     │ 'CARVUSDT'            │ 4    │ 3      │ -76.79   │ 57.14   │
│ 199     │ 'REDUSDT'             │ 3    │ 3      │ 24.69    │ 50      │
│ 200     │ 'MORPHOUSDT'          │ 0    │ 3      │ -56.56   │ 0       │
│ 201     │ 'KITEUSDT'            │ 0    │ 3      │ -81.8    │ 0       │
│ 202     │ 'RUNEUSDT'            │ 0    │ 3      │ -3059.35 │ 0       │
│ 203     │ '1000XECUSDT'         │ 2    │ 3      │ -879.06  │ 40      │
│ 204     │ 'LDOUSDT'             │ 0    │ 3      │ -1740.52 │ 0       │
│ 205     │ 'RENDERUSDT'          │ 5    │ 3      │ 722.71   │ 62.5    │
│ 206     │ 'CFXUSDT'             │ 2    │ 3      │ -4097.81 │ 40      │
│ 207     │ 'SHIB1000USDT'        │ 0    │ 3      │ -338.59  │ 0       │
│ 208     │ 'RAYDIUMUSDT'         │ 3    │ 3      │ 25.91    │ 50      │
│ 209     │ 'DOGEUSDT'            │ 0    │ 3      │ -2278.74 │ 0       │
│ 210     │ 'PEOPLEUSDT'          │ 2    │ 3      │ -518.29  │ 40      │
│ 211     │ 'CHZUSDT'             │ 0    │ 3      │ -1345.98 │ 0       │
│ 212     │ 'KAVAUSDT'            │ 4    │ 3      │ 4118.39  │ 57.14   │
│ 213     │ 'JSTUSDT'             │ 1    │ 3      │ -2843.36 │ 25      │
│ 214     │ 'COTIUSDT'            │ 2    │ 3      │ -5172.12 │ 40      │
│ 215     │ 'DBRUSDT'             │ 1    │ 3      │ -262.1   │ 25      │
│ 216     │ 'CKBUSDT'             │ 1    │ 3      │ -271.94  │ 25      │
│ 217     │ 'IMXUSDT'             │ 1    │ 3      │ -2140.94 │ 25      │
│ 218     │ 'AGLDUSDT'            │ 4    │ 3      │ -134.47  │ 57.14   │
│ 219     │ 'MEMEUSDT'            │ 6    │ 3      │ 3018.16  │ 66.67   │
│ 220     │ 'QTUMUSDT'            │ 1    │ 3      │ -3568.57 │ 25      │
│ 221     │ 'FLOCKUSDT'           │ 5    │ 2      │ 46.89    │ 71.43   │
│ 222     │ 'KERNELUSDT'          │ 1    │ 2      │ -18.64   │ 33.33   │
│ 223     │ 'HEIUSDT'             │ 2    │ 2      │ -13.19   │ 50      │
│ 224     │ 'METUSDT'             │ 2    │ 2      │ -6.28    │ 50      │
