449
449

--- BACKTEST RESULT ---
Balance: 35080.83
PnL:     34980.83

--- TRADES ---
Total:    2429
Win rate: 42.77%

--- PERFORMANCE ---
Avg Win:       484.95
Avg Loss:      -337.32
Profit Factor: 1.07
Expectancy:    14.40

--- RISK ---
Max Drawdown: 68.48%

--- BEHAVIOR ---
Avg Hold: 167.40 bars
Full Stats (Sorted by Losses):
┌─────────┬───────────────────────┬──────┬────────┬──────────┬─────────┐
│ (index) │ Symbol                │ Wins │ Losses │ TotalPnL │ WinRate │
│ 293     │ 'ROBOUSDT'            │ 1    │ 1      │ 1.17     │ 50      │
│ 294     │ 'INXUSDT'             │ 0    │ 1      │ -2.96    │ 0       │
│ 295     │ 'DIAUSDT'             │ 3    │ 1      │ 35.29    │ 75      │
│ 296     │ 'BLUAIUSDT'           │ 1    │ 1      │ 7.57     │ 50      │
│ 297     │ 'ASTERUSDT'           │ 1    │ 1      │ 22.44    │ 50      │
│ 298     │ 'FIDAUSDT'            │ 7    │ 1      │ 681.17   │ 87.5    │
│ 299     │ 'MUSDT'               │ 1    │ 1      │ 11.47    │ 50      │
│ 300     │ 'GENIUSUSDT'          │ 0    │ 1      │ -2.52    │ 0       │
│ 301     │ 'DEXEUSDT'            │ 1    │ 1      │ 44.16    │ 50      │
│ 302     │ 'ARBUSDT'             │ 0    │ 1      │ -3.74    │ 0       │
│ 303     │ 'PROVEUSDT'           │ 4    │ 1      │ 65.77    │ 80      │
│ 304     │ 'ATUSDT'              │ 1    │ 1      │ -32.96   │ 50      │
│ 305     │ 'QUSDT'               │ 0    │ 1      │ -2.2     │ 0       │
│ 306     │ 'INUSDT'              │ 1    │ 1      │ 13.97    │ 50      │
│ 307     │ 'HANAUSDT'            │ 3    │ 1      │ 13.47    │ 75      │
│ 308     │ 'AXSUSDT'             │ 4    │ 1      │ 5763.04  │ 80      │
│ 309     │ 'EGLDUSDT'            │ 2    │ 1      │ -778.46  │ 66.67   │
│ 310     │ 'BOBBOBUSDT'          │ 3    │ 1      │ 2.18     │ 75      │
│ 311     │ 'PLAYSOUTUSDT'        │ 0    │ 1      │ -2.98    │ 0       │
│ 312     │ 'DOLOUSDT'            │ 2    │ 1      │ 52.72    │ 66.67   │
│ 313     │ 'ARIAUSDT'            │ 2    │ 1      │ 82.7     │ 66.67   │
│ 314     │ 'SAPIENUSDT'          │ 1    │ 1      │ 55.68    │ 50      │
│ 315     │ 'AZTECUSDT'           │ 1    │ 1      │ 2.28     │ 50      │
│ 316     │ 'ETHUSDT-25DEC26'     │ 0    │ 1      │ -4.41    │ 0       │
│ 317     │ '0GUSDT'              │ 2    │ 1      │ 24.71    │ 66.67   │
│ 318     │ 'GUNUSDT'             │ 3    │ 1      │ 90.42    │ 75      │
│ 319     │ 'SKYUSDT'             │ 1    │ 1      │ -17.84   │ 50      │
│ 320     │ 'NEWTUSDT'            │ 1    │ 1      │ -15.23   │ 50      │
│ 321     │ 'LUMIAUSDT'           │ 2    │ 1      │ 19.67    │ 66.67   │
│ 322     │ 'CTCUSDT'             │ 7    │ 1      │ 3843.58  │ 87.5    │
│ 323     │ 'HIGHUSDT'            │ 2    │ 1      │ 287.95   │ 66.67   │
│ 324     │ 'ASPUSDT'             │ 2    │ 1      │ 9.18     │ 66.67   │
│ 325     │ 'FOGOUSDT'            │ 0    │ 1      │ -6.4     │ 0       │
│ 326     │ 'BREVUSDT'            │ 0    │ 1      │ -6.34    │ 0       │
│ 327     │ 'POLUSDT'             │ 5    │ 1      │ 302.23   │ 83.33   │
│ 328     │ 'LTCUSDT'             │ 2    │ 1      │ 1999.68  │ 66.67   │
│ 329     │ 'HOMEUSDT'            │ 2    │ 1      │ 8.83     │ 66.67   │
│ 330     │ 'RAVEUSDT'            │ 1    │ 1      │ 13.26    │ 50      │
│ 331     │ 'FFUSDT'              │ 0    │ 1      │ -11.06   │ 0       │
│ 332     │ 'ASRUSDT'             │ 2    │ 1      │ 50.84    │ 66.67   │
│ 333     │ 'MTLUSDT'             │ 3    │ 1      │ 5597.39  │ 75      │
│ 334     │ 'PUNDIXUSDT'          │ 0    │ 1      │ -11.09   │ 0       │
│ 335     │ 'HUMAUSDT'            │ 1    │ 1      │ 26.56    │ 50      │
│ 336     │ 'AVAAIUSDT'           │ 3    │ 1      │ 21.94    │ 75      │
│ 337     │ 'SCRUSDT'             │ 3    │ 1      │ 213.21   │ 75      │
│ 338     │ 'FLOWUSDT'            │ 1    │ 1      │ 2655.59  │ 50      │
│ 339     │ 'RECALLUSDT'          │ 0    │ 1      │ -35.38   │ 0       │
│ 340     │ 'ETHUSDT-25SEP26'     │ 0    │ 1      │ -33.39   │ 0       │
│ 341     │ 'BTCUSDT-26JUN26'     │ 0    │ 1      │ -31.66   │ 0       │
│ 342     │ 'SANDUSDT'            │ 1    │ 1      │ 1983.72  │ 50      │
│ 343     │ 'ILVUSDT'             │ 0    │ 1      │ -21.22   │ 0       │
│ 344     │ 'ICXUSDT'             │ 0    │ 1      │ -19.11   │ 0       │
│ 345     │ 'NAORISUSDT'          │ 0    │ 1      │ -23.08   │ 0       │
│ 346     │ 'CVXUSDT'             │ 1    │ 1      │ 3607.11  │ 50      │
│ 347     │ 'ETCUSDT'             │ 1    │ 1      │ 56.63    │ 50      │
│ 348     │ 'RVNUSDT'             │ 3    │ 1      │ 3071.8   │ 75      │
│ 349     │ 'ANKRUSDT'            │ 2    │ 1      │ 711.44   │ 66.67   │
│ 350     │ 'BTCUSDT'             │ 0    │ 1      │ -26.58   │ 0       │
│ 351     │ 'JASMYUSDT'           │ 0    │ 1      │ -70.29   │ 0       │
│ 352     │ 'CRVUSDT'             │ 2    │ 1      │ 675.81   │ 66.67   │
│ 353     │ 'LUNA2USDT'           │ 3    │ 1      │ 7274.1   │ 75      │
│ 354     │ 'SCUSDT'              │ 2    │ 1      │ 551.61   │ 66.67   │
│ 355     │ 'MASKUSDT'            │ 1    │ 1      │ 845.47   │ 50      │
│ 356     │ 'CROUSDT'             │ 0    │ 1      │ -1072.27 │ 0       │
│ 357     │ 'EDGEUSDT'            │ 1    │ 0      │ 5.86     │ 100     │
│ 358     │ 'FOLKSUSDT'           │ 2    │ 0      │ 11.57    │ 100     │
│ 359     │ 'CUSDT'               │ 2    │ 0      │ 12.01    │ 100     │
│ 360     │ 'RONINUSDT'           │ 3    │ 0      │ 35.93    │ 100     │
│ 361     │ '1000TAGUSDT'         │ 3    │ 0      │ 45.15    │ 100     │
│ 362     │ 'COAIUSDT'            │ 1    │ 0      │ 4.56     │ 100     │
│ 363     │ 'NIGHTUSDT'           │ 1    │ 0      │ 4.15     │ 100     │
│ 364     │ 'PUMPBTCUSDT'         │ 1    │ 0      │ 5.85     │ 100     │
│ 365     │ 'NOMUSDT'             │ 1    │ 0      │ 5.46     │ 100     │
│ 366     │ 'HOLOUSDT'            │ 2    │ 0      │ 15.64    │ 100     │
│ 367     │ 'OPENUSDT'            │ 3    │ 0      │ 24.75    │ 100     │
│ 368     │ 'OPNUSDT'             │ 1    │ 0      │ 7.03     │ 100     │
│ 369     │ 'MIRAUSDT'            │ 1    │ 0      │ 9.17     │ 100     │
│ 370     │ 'SKRUSDT'             │ 1    │ 0      │ 9.77     │ 100     │
│ 371     │ 'LABUSDT'             │ 1    │ 0      │ 16.72    │ 100     │
│ 372     │ 'MAGMAUSDT'           │ 1    │ 0      │ 16.58    │ 100     │
│ 373     │ 'SNXUSDT'             │ 2    │ 0      │ 2143.83  │ 100     │
│ 374     │ 'LIGHTUSDT'           │ 1    │ 0      │ 16.78    │ 100     │
│ 375     │ 'CCUSDT'              │ 1    │ 0      │ 11.4     │ 100     │
│ 376     │ 'HUSDT'               │ 1    │ 0      │ 40.34    │ 100     │
│ 377     │ 'AUSDT'               │ 1    │ 0      │ 42.67    │ 100     │
│ 378     │ 'MONUSDT'             │ 1    │ 0      │ 53.2     │ 100     │
│ 379     │ 'AWEUSDT'             │ 1    │ 0      │ 54.22    │ 100     │
│ 380     │ 'ALCHUSDT'            │ 2    │ 0      │ 253.37   │ 100     │
│ 381     │ 'ETHBTCUSDT'          │ 1    │ 0      │ 29.16    │ 100     │
│ 382     │ 'FLRUSDT'             │ 3    │ 0      │ 2107.99  │ 100     │
│ 383     │ 'DOTUSDT'             │ 1    │ 0      │ 27.9     │ 100     │
│ 384     │ 'CVCUSDT'             │ 1    │ 0      │ 127.62   │ 100     │
│ 385     │ 'ENJUSDT'             │ 1    │ 0      │ 703.3    │ 100     │
│ 386     │ 'NEOUSDT'             │ 2    │ 0      │ 4758.66  │ 100     │
│ 387     │ 'BATUSDT'             │ 1    │ 0      │ 2123.29  │ 100     │
│ 388     │ 'IOSTUSDT'            │ 1    │ 0      │ 2228.88  │ 100     │
└─────────┴───────────────────────┴──────┴────────┴──────────┴─────────┘
[
  "FLOCKUSDT",
  "EDGEUSDT",
  "DIAUSDT",
  "CLANKERUSDT",
  "FIDAUSDT",
  "LITUSDT",
  "DOODUSDT",
  "POLYXUSDT",
  "PNUTUSDT",
  "BROCCOLIUSDT",
  "LSKUSDT",
  "FOLKSUSDT",
  "CUSDT",
  "GRIFFAINUSDT",
  "PROVEUSDT",
  "EPICUSDT",
  "RONINUSDT",
  "HIVEUSDT",
  "OLUSDT",
  "SAGAUSDT",
  "BLESSUSDT",
  "SEIUSDT",
  "1000FLOKIUSDT",
  "GRASSUSDT",
  "10000QUBICUSDT",
  "HANAUSDT",
  "1000TAGUSDT",
  "CHILLGUYUSDT",
  "EIGENUSDT",
  "SCRTUSDT",
  "AXSUSDT",
  "ARPAUSDT",
  "EGLDUSDT",
  "BOBBOBUSDT",
  "COAIUSDT",
  "DOLOUSDT",
  "NIGHTUSDT",
  "ALTUSDT",
  "ARIAUSDT",
  "BIGTIMEUSDT",
  "ERAUSDT",
  "PHAUSDT",
  "BANANAUSDT",
  "PYRUSDT",
  "BSVUSDT",
  "ADAUSDT",
  "0GUSDT",
  "DRIFTUSDT",
  "PUMPBTCUSDT",
  "1000NEIROCTOUSDT",
  "NOMUSDT",
  "1000CATUSDT",
  "PYTHUSDT",
  "HOLOUSDT",
  "OPENUSDT",
  "OPNUSDT",
  "KASUSDT",
  "GUNUSDT",
  "GLMUSDT",
  "HPOS10IUSDT",
  "LUMIAUSDT",
  "CTCUSDT",
  "ACXUSDT",
  "MIRAUSDT",
  "HIGHUSDT",
  "HYPEUSDT",
  "ASPUSDT",
  "SKRUSDT",
  "HMSTRUSDT",
  "DYMUSDT",
  "LABUSDT",
  "MAGMAUSDT",
  "POLUSDT",
  "SNXUSDT",
  "LTCUSDT",
  "PLUMEUSDT",
  "HOMEUSDT",
  "CLOUDUSDT",
  "CARVUSDT",
  "METISUSDT",
  "LIGHTUSDT",
  "ASRUSDT",
  "MTLUSDT",
  "CCUSDT",
  "HUSDT",
  "AUSDT",
  "MONUSDT",
  "AVAAIUSDT",
  "RENDERUSDT",
  "SCRUSDT",
  "AWEUSDT",
  "FLUXUSDT",
  "DYDXUSDT",
  "KAVAUSDT",
  "KSMUSDT",
  "ALCHUSDT",
  "ETHBTCUSDT",
  "FLRUSDT",
  "RLCUSDT",
  "DOTUSDT",
  "RVNUSDT",
  "QNTUSDT",
  "ANKRUSDT",
  "AGLDUSDT",
  "CRVUSDT",
  "CVCUSDT",
  "ALGOUSDT",
  "LUNA2USDT",
  "MEMEUSDT",
  "SCUSDT",
  "ENJUSDT",
  "NEOUSDT",
  "BATUSDT",
  "IOSTUSDT"
]
-----------------------

